Name,DOB,Place of Birth,Province-Diocese,Country of birth,Franciscan Province Membership,College,Arrival in America,Arrival in California,Place of arrival in CA,Years of Service in California,Date of departure,Date of death,Place of death,Missions Served in California
"Abella, José Ramón",5/28/1764,Monforte,Zaragosa,Spain,Aragón,San Fernando,6/26/1795,5/1/1798,Santa Barbara,44.0,,5/24/1842,SI,"SFD, SC, SLO, SMA, LPC, SI"
"Altimira, José",1787,Barcelona,Catalonia,Spain,Catalonia,San Fernando,1820,8/18/1820,Monterey,7.4,1/23/1823,,,"SFD, SFS, SBV"
"Amestoy, Marcos",1778,Trevino,Calahorra,Spain,Catalonia,San Fernando,8/1/1803,8/14/1804,San Francisco,11.1,9/22/1815,,,SB
"Amoros, Juan",10/10/1773,Porrera,Catalonia,Spain,Catalonia,San Fernando,7/1/1803,8/15/1804,San Francisco,27.2,,7/14/1832,SRA,"SC, SFA"
"Amurrio, Gregorio",1744,Bastida,Calahorra,Spain,Cantabria,San Fernando,1770,8/30/1773,San Diego,6.0,9/1/1779,,,"SLO, SJC"
"Anzar, José Antonio",1793,,,Mexico,Jalisco,Zacatecas,,2/1/1831,San Diego,23.0,11/1/1854,12/1/1874,Colima,"SLR, SJB"
"Arroita, Francisco José",1762,,,Spain,Cantabria,San Fernando,1785,9/1/1786,,10.0,1797,3/5/1821,Mexico City,"SLO, LPC"
"Arroyo de la Cuesta, Felipe",4/29/1780,Cubo,Burgos,Spain,Burgos,San Fernando,1804,8/13/1808,Monterey,32.1,,9/20/1840,SI,"SJB, SLO, SMA, LPC, SI"
"Barcenilla, Isidro",1766,San Manes,Palencia,Spain,Concepción,San Fernando,6/26/1795,4/14/1797,San Francisco,7.5,10/1/1804,,,"SJS, SFD, SG"
"Barona, José",3/24/1764,Villanueva del Conde,Burgos,Spain,Burgos,San Fernando,6/26/1795,5/8/1798,Santa Barbara,33.2,,8/4/1831,SJC,"SD, SG, SJC, SLR"
"Barreneche, Juan Antonio",1749,Lecaroz,Navarre,Spain,"Santa Elena, Cuba",Querétaro,,1779,Fort Yuma,1.0,,7/19/1781,Fort Yuma,Concepción (Yuma?)
"Boscana, Geronimo",5/23/1776,Lluchmayor,Majorca,Spain,Majorca,San Fernando,10/24/1803,6/6/1806,Monterey,25.1,,7/5/1831,SG,"SLD, LPC, SLR, SJC, SG"
"Cabot, Juan Vicente",3/9/1781,Bunola,Majorca,Spain,Majorca,San Fernando,10/1/1804,8/31/1805,Monterey,30.0,1835,,,"LPC, SMA, SFD, and SLD"
"Cabot, Pedro",10/3/1777,Bunola,Majorca,Spain,Majorca,San Fernando,8/1/1803,8/15/1804,,32.2,,10/11/1836,SFR,"SAP, SMA, SFR"
"Calzada, José Antonio",11/24/1760,Trinidad,,Cuba,"Santa Elena, Cuba",San Fernando,,10/1/1787,Santa Barbara,25.4,6/1/1796,12/23/1814,SI,"SG, SB, SLO, LPC, SI"
"Cambon, Pedro Benito",1738,Leaya,Galicia,Spain,Galicia,San Fernando,5/1/1770,3/12/1771,San Diego,19.0,1779,,,"SG, SFD, SBV"
"Carnicer, Baltasar",1770,,,Spain,Aragón,San Fernando,1793,4/14/1797,San Francisco,11.0,1808,,,"SMA, SC"
"Carranza, Domingo",1770,,,Spain,Cantabria,San Fernando,,5/8/1798,Santa Barbara,12.6,11/1/1810,,,"SCZ, SLR"
"Catalá, Magin Matías",1/29/1761,Montblanch,Catalonia,Spain,Catalonia,San Fernando,1786,7/1/1793,Monterey,37.4,,11/22/1830,SCL,SCL
"Catalan, Benito",1766,Alzola,Catalonia,Spain,Aragón,San Fernando,1795,4/14/1797,San Francisco,3.5,1/1/1800,,,SAP
"Cavaller, José",1740,Falcet,Catalonia,Spain,Catalonia,San Fernando,1769,3/12/1771,San Diego,18.8,,12/9/1789,SLO,"SC, SLO"
"Cipres, Marcelino",1769,Huesca,Aragón,Spain,Aragón,San Fernando,1794,8/24/1795,Monterey,14.4,,1/31/1810,SMA,"SAP, SLO"
"Cortes, Juan Lope",1772,Torrejon de Ardoz,Toledo,Spain,Castile,San Fernando,7/26/1795,6/18/1796,,9.3,11/5/1805,,,"SG, SFR, SB"
"Crespi, Juan",3/1/1721,Palma,Majorca,Spain,Majorca,San Fernando,4/1/1750,5/14/1769,San Diego,12.6,,1/1/1782,SC,"SD, SC"
"Cruzado, Antonio",1724,Alcarazejo,Andalusia,Spain,Los Angeles,San Fernando,4/1/1750,3/12/1771,San Diego,33.6,,10/11/1804,SG,SG
"Cueva, Pedro de la",1776,Hornachos,Estremadura,Spain,Estremadura,San Fernando,1803,8/14/1804,San Francisco,2.3,11/1/1806,,,SJS
"Danti, Antonio",1760,Sampedor,Catalonia,Spain,Catalonia,San Fernando,1786,7/1/1790,Monterey,6.3,11/1/1796,,,SFD
"Diaz, Juan",5/1/1736,Alazar,Andalusia,Spain,Estremadura,Querétaro,1763,1780,Fort Yuma,1.0,,7/17/1781,San Pedro y San Pablo de Bicuner,San Pedro y San Pablo
"Dulanto, Andres",1774,Suzarra,Burgos,Spain,Cantabria,San Fernando,8/1/1803,8/15/1804,Monterey,4.1,,9/11/1808,SB,"SJB, SB"
"Dumetz, Francisco",1734,Palma,Majorca,Spain,Majorca,San Fernando,1770,3/12/1771,San Diego,39.8,,1/14/1811,SG,"SD, SC, SBV, SFR, SG"
"Durán, Narciso",12/16/1776,Castellon de Ampurias,Catalonia,Spain,Catalonia,San Fernando,1803,6/6/1806,Monterey,40.0,,6/1/1846,SB,"SJS, SB"
"Escude, Jayme",7/1/1779,Gandesa,Catalonia,Spain,Catalonia,San Fernando,7/1/1810,7/15/1812,San Diego,10.4,12/1/1822,,,"SLR, SCZ"
"Espi de Valencia, José de la Cruz",1/3/1763,Turis,Valencia,Spain,Valencia,San Fernando,9/1/1786,7/1/1793,Monterey,6.5,,1/16/1800,Cuba,"SAP, SLD, SCL, SFD"
"Estenega, Tomás Eleuterio",1790,Anzuola,Vizcaya,Spain,Cantabria,San Fernando,1810,8/1/1820,Monterey,26.0,,2/1/1847,SF,"SC, SMA, SFD, SFA, SG, SFR"
"Estevan, Pedro de San José",1751,,Castile,Spain,"Santa Elena, Cuba",San Fernando,,1/1/1795,Monterey,8.5,11/4/1802,,,"SAP, SD, SG"
"Faura, José",1773,Barcelona,Catalonia,Spain,Catalonia,San Fernando,1798,5/8/1798,Santa Barbara,11.5,11/1/1809,,,"SLR, SJC"
"Fernandez, Gregorio",1754,Burgos,Burgos,Spain,Burgos,San Fernando,1785,6/1/1794,,11.4,11/6/1805,,,"SLO, LPC"
"Fernandez, José María",1773,Madrid,Toledo,Spain,Castile,San Fernando,1795,9/1/1796,San Francisco,1.3,9/1/1797,,,SFD
"Fernandez, Manuel",1767,Villar,Tuy Galicia,Spain,Galicia,San Fernando,1793,1794,,4.0,11/1/1798,,,"SCL, SFD, SCZ"
"Fernandez de Ulibarri, Román",2/28/1773,Ali,Calahorra,Spain,Cantabria,San Fernando,8/1/1803,6/22/1809,Monterey,11.9,,6/16/1821,SG,"SJB, SI, LPC, SFR"
"Figuer, Juan",1742,Anento,Aragón,Spain,Aragón,San Fernando,1770,11/1/1772,San Diego,12.1,,12/18/1784,SD,"SG, SLO, SD"
"Fortuny,  Buenaventura",1774,Moster,Catalonia,Spain,Catalonia,San Fernando,7/1/1803,6/6/1806,Monterey,34.5,,12/16/1840,SB,"SJS, SFS, SD, SLR, SBV"
"Fuster, Vicente",1742,Alcaniz,Aragón,Spain,Aragón,San Fernando,1770,8/30/1773,San Diego,27.1,,10/21/1800,SJC,"SD, SG, SJC, LPC"
"Garces, Francisco Hermenegildo",4/12/1738,Morata del Conde,Aragón,Spain,Aragón,Querétaro,1766,11/1/1780,Fort Yuma,1.0,,7/17/1781,Fort Yuma,Concepción 
"Garcia, Diego",1744,Araal,Andalusia,Spain,Los Angeles,San Fernando,1786,1787,,10.0,11/1/1797,,,"SFD, SLD, SAP"
"Garcia, José",1775,,Cantabria,Spain,Cantabria,San Fernando,,8/1/1800,Monterey,8.3,11/1/1808,,,"SLR, SD"
"Garcia Diego y Moreno, Francisco",9/17/1785,Lagos,Jalisco,Mexico,,Zacatecas,,1/15/1833,Monterey,7.2,11/17/1835,4/30/1846,SB,"SCL, SB"
